Firmenname,Website,Status,Branche,Kurzprofil,Gespraechseinstieg
Contentful,contentful.com,Enriched,Content Management / SaaS,"Contentful bietet eine cloudbasierte Headless‑CMS-Plattform, die es Unternehmen ermöglicht, Inhalte über APIs zu erstellen, zu verwalten und zu veröffentlichen. Die Plattform unterstützt Entwickler, Designer und Content‑Teams dabei, skalierbare digitale Erlebnisse zu gestalten.","Hallo [Name], ich habe gesehen, dass Contentful gerade neue Funktionen zur Optimierung von Workflows für Content‑Teams einführt – wie könnte das Ihr Unternehmen unterstützen?"
Wefox,wefox.com,Enriched,InsurTech / digitale Versicherungsplattform,"Wefox ist ein deutsches InsurTech-Unternehmen, das digitale Versicherungsprodukte über eine Plattform vermittelt. Das Unternehmen verbindet Kunden mit Versicherern und nutzt moderne Technologie für ein nahtloses Kundenerlebnis.","Hallo [Name], ich habe gesehen, dass Wefox sich auf digitale Versicherungslösungen spezialisiert hat – ich würde gern erfahren, wie wir Ihre Prozesse optimieren können."
Babbel,babbel.com,Enriched,Sprachlernplattform,"Babbel ist ein Online-Sprachlernportal, das interaktive Kurse in über 14 Sprachen anbietet. Durch KI-gestützte Übungen und praxisnahe Inhalte unterstützt es Lernende weltweit dabei, ihre Sprachkompetenz effektiv zu verbessern.","Hallo [Name], ich freue mich, Sie kennenzulernen und mehr über Ihre Lernziele bei Babbel zu erfahren."
Auto1 Group,auto1-group.com,Enriched,Online-Auto-Marktplatz,"Auto1 Group betreibt den größten Online-Auto-Marktplatz in Europa, der Käufer, Verkäufer und Händler miteinander verbindet. Das Unternehmen nutzt datengetriebene Technologien, um den Autokauf und -verkauf effizienter und transparenter zu gestalten.","Hallo, ich habe gesehen, dass Auto1 Group mit datengetriebenen Lösungen die Autohandel revolutioniert, und würde gern erfahren, wie wir gemeinsam Ihre Effizienz steigern können."
Solarisbank,solarisbank.com,Enriched,FinTech / Digitalbank,"Solarisbank ist eine deutsche FinTech-Bank, die digitale Banking-Lösungen für Unternehmen und FinTechs anbietet. Sie ermöglicht Banken und Zahlungsdienstleistern die Lizenzierung von Bankdienstleistungen über ihre Plattform.","Hallo [Name], ich habe gesehen, dass Sie bei Solarisbank tätig sind und ich bin neugierig, wie Ihre Plattform Banken dabei unterstützt, ihre digitalen Angebote schneller zu skalieren."
Deliveroo,deliveroo.com,Enriched,Food Delivery,"Deliveroo ist ein britisches Online-Lieferservice-Unternehmen, das Restaurants mit Kunden verbindet. Das Unternehmen betreibt ein Netzwerk von Lieferanten, die über eine App bestellte Speisen ausliefern.","Hallo [Name], ich freue mich, mit Ihnen über innovative Lieferlösungen für Ihr Restaurant zu sprechen."
Klarna,klarna.com,Enriched,FinTech / Zahlungsverkehr,"Klarna ist ein führendes FinTech-Unternehmen, das sich auf Buy‑Now‑Pay‑Later-Lösungen und Online‑Zahlungsabwicklungen spezialisiert hat. Das Unternehmen bietet sowohl Konsumenten als auch Händlern flexible Zahlungsmöglichkeiten und eine nahtlose Integration in E‑Commerce-Plattformen.","Hallo [Name], ich habe gesehen, dass Klarna gerade seine BNPL-Strategie erweitert – würden Sie sich für einen kurzen Austausch über mögliche Synergien im E‑Commerce-Bereich interessieren?"
Spotify,spotify.com,Enriched,Musik-Streaming,"Spotify ist ein schwedisches Musik-Streaming-Unternehmen, das seit seiner Gründung 2008 Millionen Nutzer weltweit bedient. Das Unternehmen bietet personalisierte Playlists, Podcasts und umfangreiche Musikbibliotheken an.","Hallo [Name], ich freue mich, mit Ihnen darüber zu sprechen, wie Spotify Ihr Musik-Erlebnis noch weiter verbessern kann."
Revolut,revolut.com,Enriched,FinTech,"Revolut ist ein digitales Finanzunternehmen, das innovative Banking- und Zahlungsdienste anbietet. Das Unternehmen kombiniert Echtzeit-Währungsumrechnung, Investitionen und Versicherungsprodukte in einer einzigen mobilen App.","Hallo, ich freue mich, mit Revolut in Kontakt zu treten, da Ihre Plattform die Art und Weise, wie Menschen weltweit Finanztransaktionen durchführen, revolutioniert."
Wolt,wolt.com,Enriched,Online-Lieferservice,"Wolt ist ein finnisches Technologieunternehmen, das sich auf die Lieferung von Speisen, Lebensmitteln und Waren spezialisiert hat. Mit einem Netzwerk von Partnerrestaurants und Lieferfahrern bietet Wolt schnelle, zuverlässige Zustellungen in zahlreichen Städten weltweit.","Hallo [Name], ich habe gesehen, dass Wolt innovative Lieferlösungen für Kunden weltweit entwickelt hat, und ich würde gerne mehr darüber erfahren, wie wir gemeinsam Ihre Lieferkette optimieren können."
